lat,long,subbasin
43.8203,-83.3767,0a
43.8113,-83.3765,0a
43.8023,-83.3762,0a
43.8021,-83.3887,0a
43.7931,-83.3885,0a
43.7841,-83.3883,0a
43.7839,-83.4008,0a
43.7749,-83.4005,0a
43.7747,-83.413,0a
43.7657,-83.4128,0a
43.7566,-83.4125,0a
43.7565,-83.425,0a
43.7474,-83.4248,0a
43.7384,-83.4245,0a
43.7382,-83.437,0a
43.7292,-83.4368,0a
43.729,-83.4493,0a
43.72,-83.449,0a
43.711,-83.4488,0a
43.7108,-83.4613,0a
43.7018,-83.461,0a
43.6927,-83.4607,0a
43.6926,-83.4732,0a
43.6924,-83.4857,0a
43.7014,-83.486,0a
43.7104,-83.4862,0a
43.7102,-83.4987,0a
43.7193,-83.499,0a
43.7191,-83.5115,0a
43.7101,-83.5112,0a
43.701,-83.5109,0a
43.7008,-83.5234,0a
43.6918,-83.5232,0a
43.6828,-83.5229,0a
43.6826,-83.5354,0a
43.6736,-83.5351,0a
43.6734,-83.5476,0a
43.6644,-83.5473,0a
43.6642,-83.5598,0a
43.6551,-83.5596,0a
43.6461,-83.5593,0a
43.6459,-83.5718,0a
43.6369,-83.5715,0a
43.6367,-83.584,0a
43.6277,-83.5837,0a
43.6275,-83.5962,0a
43.6185,-83.5959,0a
43.6183,-83.6084,0a
43.6092,-83.6081,0a
43.6091,-83.6206,0a
43.6,-83.6203,0a
43.591,-83.62,0a
43.5908,-83.6325,0a
43.5818,-83.6322,0a
43.5816,-83.6447,0a
43.5814,-83.6571,0a
43.5812,-83.6696,0a
43.5902,-83.6699,0a
43.59,-83.6823,0a
43.599,-83.6826,0a
43.5988,-83.6951,0a
43.6078,-83.6954,0a
43.6076,-83.7078,0a
43.6166,-83.7081,0a
43.6164,-83.7206,0a
43.6162,-83.733,0a
43.616,-83.7455,0a
43.625,-83.7458,0a
43.6248,-83.7583,0a
43.6246,-83.7707,0a
43.6244,-83.7832,0a
43.6242,-83.7957,0a
43.6332,-83.796,0a
43.633,-83.8084,0a
43.6328,-83.8209,0a
43.6325,-83.8334,0a
43.6416,-83.8337,0a
43.6413,-83.8462,0a
43.6504,-83.8465,0a
43.6501,-83.8589,0a
43.6499,-83.8714,0a
43.6589,-83.8717,0a
43.6587,-83.8842,0a
43.6677,-83.8845,0a
43.6768,-83.8848,0a
43.6765,-83.8973,0a
43.6855,-83.8976,0a
43.6946,-83.898,0a
43.7036,-83.8983,0a
43.7034,-83.9108,0a
43.7124,-83.9111,0a
43.7214,-83.9114,0a
43.7304,-83.9117,0a
43.7302,-83.9242,0a
43.7392,-83.9245,0a
43.7482,-83.9248,0a
43.7573,-83.9252,0a
43.7575,-83.9127,0a
43.7665,-83.913,0a
43.7667,-83.9005,0a
43.7758,-83.9008,0a
43.7848,-83.9011,0a
43.7938,-83.9015,0a
43.794,-83.8889,0a
43.8031,-83.8893,0a
43.8121,-83.8896,0a
43.8211,-83.8899,0a
43.8301,-83.8902,0a
43.8392,-83.8905,0a
43.8394,-83.878,0a
43.8484,-83.8783,0a
43.8482,-83.8909,0a
43.8572,-83.8912,0a
43.8662,-83.8915,0a
43.8752,-83.8918,0a
43.8843,-83.8921,0a
43.8933,-83.8924,0a
43.9023,-83.8928,0a
43.9025,-83.8802,0a
43.9116,-83.8806,0a
43.9118,-83.868,0a
43.9208,-83.8683,0a
43.9298,-83.8687,0a
43.9301,-83.8561,0a
43.9391,-83.8564,0a
43.9481,-83.8568,0a
43.9483,-83.8442,0a
43.9486,-83.8317,0a
43.9576,-83.832,0a
43.9666,-83.8323,0a
43.9668,-83.8198,0a
43.9758,-83.8201,0a
43.9849,-83.8204,0a
